ENSCAFG00000010935	ENSCAFG00000010935
ENSCAFG00000031744	ENSCAFG00000031744
ENSCAFG00000039510	ENSCAFG00000039510
ENSCAFG00000029674	ENSCAFG00000029674
ENSCAFG00000033997	ENSCAFG00000033997
ENSCAFG00000035286	ENSCAFG00000035286
ENSCAFG00000010945	ENSCAFG00000010945
ENSCAFG00000028761	ENSCAFG00000028761
ENSCAFG00000010931	GTPBP6
ENSCAFG00000010929	PLCXD1
ENSCAFG00000010966	SHOX
ENSCAFG00000011034	CRLF2
ENSCAFG00000011041	CSF2RA
ENSCAFG00000031295	ENSCAFG00000031295
ENSCAFG00000035097	ENSCAFG00000035097
ENSCAFG00000011047	IL3RA
ENSCAFG00000010987	SLC25A6
ENSCAFG00000032218	ENSCAFG00000032218
ENSCAFG00000029091	ENSCAFG00000029091
ENSCAFG00000024670	ASMT
ENSCAFG00000030459	ENSCAFG00000030459
ENSCAFG00000028620	ENSCAFG00000028620
ENSCAFG00000015291	ASMTL
ENSCAFG00000029462	ENSCAFG00000029462
ENSCAFG00000030381	ENSCAFG00000030381
ENSCAFG00000011067	DHRSX
ENSCAFG00000034532	ENSCAFG00000034532
ENSCAFG00000036041	ENSCAFG00000036041
ENSCAFG00000028845	ENSCAFG00000028845
ENSCAFG00000011080	CD99
ENSCAFG00000011091	XG
ENSCAFG00000011113	GYG2
ENSCAFG00000011139	ARSD
ENSCAFG00000025078	arse
ENSCAFG00000024515	ARSH
ENSCAFG00000033546	ENSCAFG00000033546
ENSCAFG00000011163	ARSF
ENSCAFG00000011180	MXRA5
ENSCAFG00000032309	ENSCAFG00000032309
ENSCAFG00000036369	ENSCAFG00000036369
ENSCAFG00000038163	ENSCAFG00000038163
ENSCAFG00000040759	ENSCAFG00000040759
ENSCAFG00000037867	ENSCAFG00000037867
ENSCAFG00000011187	PRKX
ENSCAFG00000040280	ENSCAFG00000040280
ENSCAFG00000035750	ENSCAFG00000035750
ENSCAFG00000033170	ENSCAFG00000033170
ENSCAFG00000036854	ENSCAFG00000036854
ENSCAFG00000038644	ENSCAFG00000038644
ENSCAFG00000011192	ENSCAFG00000011192
ENSCAFG00000035300	ENSCAFG00000035300
ENSCAFG00000034489	ENSCAFG00000034489
ENSCAFG00000036877	ENSCAFG00000036877
ENSCAFG00000032952	ENSCAFG00000032952
ENSCAFG00000039522	ENSCAFG00000039522
ENSCAFG00000039620	ENSCAFG00000039620
ENSCAFG00000031750	ENSCAFG00000031750
ENSCAFG00000032113	ENSCAFG00000032113
ENSCAFG00000028745	ENSCAFG00000028745
ENSCAFG00000035491	ENSCAFG00000035491
ENSCAFG00000038675	ENSCAFG00000038675
ENSCAFG00000034356	ENSCAFG00000034356
ENSCAFG00000011251	ENSCAFG00000011251
ENSCAFG00000029931	ENSCAFG00000029931
ENSCAFG00000037619	ENSCAFG00000037619
ENSCAFG00000037263	ENSCAFG00000037263
ENSCAFG00000035150	ENSCAFG00000035150
ENSCAFG00000036418	ENSCAFG00000036418
ENSCAFG00000034268	ENSCAFG00000034268
ENSCAFG00000011278	PUDP
ENSCAFG00000030093	ENSCAFG00000030093
ENSCAFG00000040016	ENSCAFG00000040016
ENSCAFG00000011287	STS
ENSCAFG00000036749	ENSCAFG00000036749
ENSCAFG00000004314	ENSCAFG00000004314
ENSCAFG00000034475	ENSCAFG00000034475
ENSCAFG00000038232	ENSCAFG00000038232
ENSCAFG00000028605	PNPLA4
ENSCAFG00000011318	ANOS1
ENSCAFG00000036523	ENSCAFG00000036523
ENSCAFG00000033669	ENSCAFG00000033669
ENSCAFG00000032949	ENSCAFG00000032949
ENSCAFG00000039144	ENSCAFG00000039144
ENSCAFG00000036268	ENSCAFG00000036268
ENSCAFG00000039487	ENSCAFG00000039487
ENSCAFG00000035620	ENSCAFG00000035620
ENSCAFG00000037230	ENSCAFG00000037230
ENSCAFG00000011362	TBL1Y
ENSCAFG00000011388	SHROOM2
ENSCAFG00000036941	ENSCAFG00000036941
ENSCAFG00000011393	CLDN34
ENSCAFG00000011461	WWC3
ENSCAFG00000011537	CLCN4
ENSCAFG00000011570	MID1
ENSCAFG00000040034	ENSCAFG00000040034
ENSCAFG00000037765	ENSCAFG00000037765
ENSCAFG00000035477	ENSCAFG00000035477
ENSCAFG00000035220	ENSCAFG00000035220
ENSCAFG00000011591	HCCS
ENSCAFG00000011595	ARHGAP6
ENSCAFG00000011602	AMELX
ENSCAFG00000011607	MSMO1
ENSCAFG00000028606	ENSCAFG00000028606
ENSCAFG00000034787	ENSCAFG00000034787
ENSCAFG00000011611	MSL3
ENSCAFG00000033186	ENSCAFG00000033186
ENSCAFG00000033987	ENSCAFG00000033987
